trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
66,False,"{'a': 0.5, 'e': 0.7899922314973651}",25,0,-152.09996249158718,"{0: 16, 1: 1, 2: 5, 3: 0, 4: 3}",0
67,False,"{'a': 0.5, 'e': 0.7838216658808492}",20,3,-16.153933136289904,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 0}",1
68,False,"{'a': 0.5, 'e': 0.7775727187509279}",30,0,-64.4371559620756,"{0: 21, 1: 3, 2: 4, 3: 2, 4: 0}",0
69,False,"{'a': 0.5, 'e': 0.7712460149971065}",20,0,-54.44267163642462,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
70,False,"{'a': 0.5, 'e': 0.7648421872844884}",20,0,-64.62445240473788,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
71,False,"{'a': 0.5, 'e': 0.7583618759905082}",30,14,-42.27992978393579,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 1}",1
72,False,"{'a': 0.5, 'e': 0.7518057291408949}",20,0,-103.79939588559783,"{0: 14, 1: 2, 2: 1, 3: 1, 4: 2}",0
73,False,"{'a': 0.5, 'e': 0.7451744023448704}",20,0,-94.09002698256936,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 1}",0
74,False,"{'a': 0.5, 'e': 0.7384685587295879}",20,14,4.108299496032227,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
75,False,"{'a': 0.5, 'e': 0.7316888688738209}",20,0,-79.66907812578553,"{0: 13, 1: 1, 2: 3, 3: 3, 4: 0}",0
76,False,"{'a': 0.5, 'e': 0.7248360107409052}",30,6,-137.0838198927379,"{0: 15, 1: 2, 2: 3, 3: 2, 4: 2}",1
77,False,"{'a': 0.5, 'e': 0.7179106696109434}",25,0,-108.24781805950283,"{0: 19, 1: 0, 2: 3, 3: 1, 4: 2}",0
78,False,"{'a': 0.5, 'e': 0.7109135380122773}",20,0,-108.1476494583477,"{0: 11, 1: 3, 2: 3, 3: 2, 4: 1}",0
79,False,"{'a': 0.5, 'e': 0.7038453156522361}",25,0,-78.81425513326599,"{0: 16, 1: 4, 2: 4, 3: 0, 4: 1}",0
80,False,"{'a': 0.5, 'e': 0.6967067093471654}",35,3,-58.06117131156046,"{0: 25, 1: 2, 2: 4, 3: 0, 4: 1}",1
81,False,"{'a': 0.5, 'e': 0.689498432951747}",20,3,1.1471299881289063,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
82,False,"{'a': 0.5, 'e': 0.6822212072876135}",20,0,-22.965973344258817,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
83,False,"{'a': 0.5, 'e': 0.674875760071267}",20,0,-92.59603142564617,"{0: 14, 1: 0, 2: 3, 3: 2, 4: 1}",0
84,False,"{'a': 0.5, 'e': 0.6674628258413081}",20,3,-53.41230309341955,"{0: 13, 1: 0, 2: 3, 3: 0, 4: 1}",1
85,False,"{'a': 0.5, 'e': 0.6599831458849822}",25,0,-65.55361804516245,"{0: 16, 1: 2, 2: 6, 3: 1, 4: 0}",0
86,False,"{'a': 0.5, 'e': 0.6524374681640519}",25,9,-35.58678700296138,"{0: 11, 1: 2, 2: 1, 3: 2, 4: 0}",1
87,False,"{'a': 0.5, 'e': 0.6448265472400012}",20,14,11.624865278480133,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
88,False,"{'a': 0.5, 'e': 0.6371511441985802}",30,0,-81.69793546541536,"{0: 24, 1: 0, 2: 3, 3: 2, 4: 1}",0
89,False,"{'a': 0.5, 'e': 0.6294120265736969}",25,0,-74.55831831189825,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
90,False,"{'a': 0.5, 'e': 0.6216099682706644}",20,0,-75.00451070641795,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
91,False,"{'a': 0.5, 'e': 0.6137457494888116}",20,0,-60.20369788543843,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
92,False,"{'a': 0.5, 'e': 0.6058201566434628}",25,0,-70.4805605215192,"{0: 19, 1: 0, 2: 5, 3: 0, 4: 1}",0
93,False,"{'a': 0.5, 'e': 0.5978339822872982}",25,10,2.383003278311452,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
94,False,"{'a': 0.5, 'e': 0.5897880250310982}",30,0,-135.94023828017504,"{0: 16, 1: 4, 2: 9, 3: 0, 4: 1}",0
95,False,"{'a': 0.5, 'e': 0.5816830894638835}",30,11,-43.646631833830625,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 1}",1
96,False,"{'a': 0.5, 'e': 0.5735199860724567}",20,0,-136.7216865469639,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 3}",0
97,False,"{'a': 0.5, 'e': 0.5652995311603544}",20,2,-105.58410628196819,"{0: 13, 1: 1, 2: 0, 3: 2, 4: 2}",1
98,False,"{'a': 0.5, 'e': 0.5570225467662173}",20,0,-65.1920903964589,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
99,False,"{'a': 0.5, 'e': 0.5486898605815875}",25,0,-98.69673167334975,"{0: 17, 1: 2, 2: 3, 3: 2, 4: 1}",0
100,False,"{'a': 0.5, 'e': 0.5403023058681397}",20,8,-48.3414787414641,"{0: 9, 1: 0, 2: 0, 3: 3, 4: 0}",1
101,False,"{'a': 0.5, 'e': 0.5318607213743555}",20,0,-63.628699563895104,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
102,False,"{'a': 0.5, 'e': 0.5233659512516495}",25,0,-78.0922582460563,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
103,False,"{'a': 0.5, 'e': 0.5148188449699553}",25,0,-55.51645194482724,"{0: 18, 1: 0, 2: 6, 3: 1, 4: 0}",0
104,False,"{'a': 0.5, 'e': 0.5062202572327784}",25,12,8.855510770417588,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
105,False,"{'a': 0.5, 'e': 0.49757104789172696}",20,0,-16.18574701784057,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
106,False,"{'a': 0.5, 'e': 0.4888720818605275}",20,11,14.264076842994251,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
107,False,"{'a': 0.5, 'e': 0.4801242290285341}",25,11,-80.36054342987117,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 2}",1
108,False,"{'a': 0.5, 'e': 0.47132836417373997}",20,0,-82.4009748555782,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
109,False,"{'a': 0.5, 'e': 0.4624853668753008}",25,0,-92.7006622228974,"{0: 19, 1: 1, 2: 1, 3: 3, 4: 1}",0
110,False,"{'a': 0.5, 'e': 0.4535961214255773}",30,0,-32.78866343686515,"{0: 23, 1: 4, 2: 2, 3: 1, 4: 0}",0
111,False,"{'a': 0.5, 'e': 0.4446615167417068}",20,0,7.021444366087714,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
112,False,"{'a': 0.5, 'e': 0.4356824462767121}",20,0,3.885683119588447,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
113,False,"{'a': 0.5, 'e': 0.42665980793015723}",30,8,18.9651700018939,"{0: 20, 1: 1, 2: 1, 3: 0, 4: 0}",1
114,False,"{'a': 0.5, 'e': 0.41759450395835795}",30,15,-115.86629177600679,"{0: 10, 1: 0, 2: 1, 3: 2, 4: 2}",1
115,False,"{'a': 0.5, 'e': 0.40848744088415717}",20,6,3.1976704693560887,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
